name,address,lat,lon,rating,user_ratings_total,place_id
LAP COFFEE,"Akazienstraße 3A, 10823 Berlin, Germany",52.4867684,13.35549,4.7,152,ChIJGzWI8E5RqEcRYF2oui3pSKc
LAP COFFEE,"Uhlandstraße 30, 10719 Berlin, Germany",52.5006847,13.3247846,4.8,155,ChIJ-57yf-xRqEcRYJKjDT4XSeo
LAP COFFEE,"Rosenthaler Str. 62, 10119 Berlin, Germany",52.5276603,13.4035268,4.7,689,ChIJZStJ7KFRqEcRzRngO3uVeHI
LAP COFFEE,"Kastanienallee 47, 10119 Berlin, Germany",52.5344486,13.4053129,4.8,176,ChIJ1Y4HnFRRqEcRrGp6yJc4Z1M
LAP COFFEE,"Kantstraße 23, 10623 Berlin, Germany",52.50615089999999,13.3208272,4.3,127,ChIJDaStzodRqEcRdV8rWRWAZU4
LAP COFFEE,"Kurfürstendamm 229, 10719 Berlin, Germany",52.5036798,13.3322424,4.3,18,ChIJMbzjk4NRqEcROIGJ3bkhIXI
LAP coffee,"Schönhauser Allee 75, 10439 Berlin, Germany",52.5493204,13.4136695,4.7,103,ChIJ0xWPbQBTqEcRYzrlBu-XTqA
LAP COFFEE,"Karl-Marx-Straße 101, 12043 Berlin, Germany",52.479598,13.4377434,4.4,61,ChIJbd-SFeFPqEcRjv6IFtDEPL8
LAP COFFEE,"Oderberger Str. 53, 10435 Berlin, Germany",52.5385328,13.4091964,4.8,35,ChIJg2drpFxRqEcRUoAJXnKQYag
LAP COFFEE,"Schönhauser Allee 176, 10119 Berlin, Germany",52.53169699999999,13.4119802,4.9,79,ChIJZeoiUcJRqEcRJx7SjWT7JUU
LAP COFFEE,"Graefestraße 19, 10967 Berlin, Germany",52.4928841,13.4173035,4.4,91,ChIJQe7gDelPqEcRpm96m_UuodA
LAP COFFEE,"Krossener Str. 21, 10245 Berlin, Germany",52.51026840000001,13.4592979,4.0,49,ChIJG8DW1lNPqEcRzhoW-8_nXnw
LAP COFFEE,"Raumerstraße 35, 10437 Berlin, Germany",52.541964,13.4213096,4.7,135,ChIJWY9iGUJNqEcRjAigRyfJ-rw
LAP COFFEE,"Falckensteinstraße 5, 10997 Berlin, Germany",52.499624,13.4431491,4.3,38,ChIJaebs4LhPqEcRceYKo4qfsMw
LAP COFFEE,"Rykestraße 11, 10405 Berlin, Germany",52.5362018,13.4206822,4.7,117,ChIJXbKXdVRPqEcRkxvPaMuLiz0
LAP COFFEE,"Adalbertstraße 91, 10999 Berlin, Germany",52.5011783,13.4189707,4.4,41,ChIJhdjF1spPqEcRYoJoQcCPel4
